Base DataSet,Model Method,Parameters,Mean Squared Error,R Squared
"Jul IntMnt Dry Test Scaled features selected via ICA n50, Test Score",Ridge Regression,"{'alpha': 0.1, 'normalize': False}",9437.83927452644,0.7359105334520479
"Jul IntMnt Ref Test, Test Score",Stacking OF Ensemble,"{'stackingPredictorConfiguration': K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}, 'includeOriginalFeatures': True, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'n_estimators': 20, 'random_state': 47392, 'max_features': 'sqrt'}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",9479.38232192366,0.7347480765689858
"Jul IntMnt Dry Test Scaled features selected via Variance Threshold .1, Test Score",Averaging Ensemble,"{'weights': [0.18425060629944251, 0.5411073296418506, 0.47283832390139918], 'predictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'n_estimators': 10, 'random_state': 47392, 'max_features': 'sqrt'}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",9985.620659668815,0.7205825235570704
"Jul IntMnt Dry Test features selected via ICA n50, Test Score",Averaging Ensemble,"{'weights': [0.64253881362087961, 0.48361317595942599, 0.6534041348882349], 'predictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': False}, Random Forest {'n_estimators': 20, 'random_state': 47392, 'max_features': 10}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 2}]}",10133.569339626993,0.7164426259777499
"Jul IntMnt Dry Test Scaled features selected via Variance Threshold .1, Test Score",Random Forest,"{'n_estimators': 10, 'random_state': 47392, 'max_features': 'sqrt'}",10338.13566984408,0.7107184542209244
"Jul IntMnt Dry Test Scaled features selected via Variance Threshold .1, Test Score",Stacking Ensemble,"{'stackingPredictorConfiguration': Random Forest {'n_estimators': 10, 'random_state': 47392, 'max_features': None}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'n_estimators': 10, 'random_state': 47392, 'max_features': 'sqrt'}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",10341.059783992092,0.7106366317059385
"Jul IntMnt Dry Test Scaled features selected via Variance Threshold .1, Test Score",Stacking OF Ensemble,"{'stackingPredictorConfiguration': Random Forest {'n_estimators': 10, 'random_state': 47392, 'max_features': None}, 'includeOriginalFeatures': True, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'n_estimators': 10, 'random_state': 47392, 'max_features': 'sqrt'}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",10341.059783992094,0.7106366317059385
"Jul IntMnt Dry Test Scaled features selected via ICA n50, Test Score",K Nearest Neighbors,"{'metric': 'minkowski', 'n_neighbors': 2}",10452.469121755725,0.7075191774113023
"Jul IntMnt Dry Test Scaled features selected via Variance Threshold .1, Test Score",K Nearest Neighbors,"{'metric': 'minkowski', 'n_neighbors': 5}",10734.601850473282,0.6996245439411348
"Jul IntMnt Dry Test features selected via PCA n20, Test Score",Ridge Regression,"{'alpha': 0.1, 'normalize': True}",10773.024052811457,0.6985494144942419
"Jul IntMnt Ref Test features selected via PCA n20, Test Score",Stacking OF Ensemble,"{'stackingPredictorConfiguration': K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}, 'includeOriginalFeatures': True, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'n_estimators': 20, 'random_state': 47392, 'max_features': 10}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",11020.057681343515,0.6916369234800622
"Jul IntMnt Dry Test Scaled features selected via ICA n50, Test Score",Random Forest,"{'n_estimators': 20, 'random_state': 47392, 'max_features': 10}",11430.419154311068,0.6801541953538969
"Jul IntMnt Ref Test Scaled features selected via ICA n50, Test Score",K Nearest Neighbors,"{'metric': 'minkowski', 'n_neighbors': 5}",11679.034581190837,0.6731974424838323
"Jul IntMnt Ref Test features selected via PCA n50, Test Score",Random Forest,"{'n_estimators': 20, 'random_state': 47392, 'max_features': 10}",12132.234815742373,0.6605160008211031
"Jul IntMnt Ref Test Scaled features selected via PCA n50, Test Score",Random Forest,"{'n_estimators': 20, 'random_state': 47392, 'max_features': 10}",12475.935949725192,0.6508985612265934
"Jul IntMnt Ref Test Scaled, Test Score",Stacking OF Ensemble,"{'stackingPredictorConfiguration': K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}, 'includeOriginalFeatures': True, 'basePredictorConfigurations': [Ridge Regression {'alpha': 1.0, 'normalize': False}, Random Forest {'n_estimators': 20, 'random_state': 47392, 'max_features': 'sqrt'}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",12499.164320213744,0.6502485853377629
"Jul IntMnt Ref Test Scaled, Test Score",Stacking Ensemble,"{'stackingPredictorConfiguration': K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 1.0, 'normalize': False}, Random Forest {'n_estimators': 20, 'random_state': 47392, 'max_features': 'sqrt'}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",12500.005217343514,0.6502250553678235
"Jul IntMnt Ref Test, Test Score",Stacking Ensemble,"{'stackingPredictorConfiguration': K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'n_estimators': 20, 'random_state': 47392, 'max_features': 'sqrt'}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",13002.688069038168,0.6361589919092989
"Jul IntMnt Dry Test features selected via ICA n50, Test Score",Random Forest,"{'n_estimators': 20, 'random_state': 47392, 'max_features': 10}",13011.27634549427,0.6359186748958507
"Jul IntMnt Ref Test features selected via ICA n50, Test Score",Random Forest,"{'n_estimators': 20, 'random_state': 47392, 'max_features': 10}",13197.38943233588,0.630710861497899
"Jul IntMnt Ref Test features selected via PCA n50, Test Score",Averaging Ensemble,"{'weights': [0.60169764590083397, 0.73682916200042914, 0.83779179138512272], 'predictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'n_estimators': 20, 'random_state': 47392, 'max_features': 10}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",13739.338398569282,0.6155460542548794
"Jul IntMnt Ref Test features selected via PCA n20, Test Score",Stacking Ensemble,"{'stackingPredictorConfiguration': K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'n_estimators': 20, 'random_state': 47392, 'max_features': 10}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",14093.813732519086,0.6056271311704526
"Jul IntMnt Ref Test Scaled features selected via PCA n50, Test Score",Averaging Ensemble,"{'weights': [0.62177430779685106, 0.80406789677242629, 0.84559445435110292], 'predictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'n_estimators': 20, 'random_state': 47392, 'max_features': 10}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",14999.482776474635,0.5802847145716896
"Jul IntMnt Dry Test features selected via ICA n50, Test Score",K Nearest Neighbors,"{'metric': 'minkowski', 'n_neighbors': 2}",15461.599809732823,0.5673537631911895
"Jul IntMnt Ref Test Scaled features selected via PCA n50, Test Score",Stacking Ensemble,"{'stackingPredictorConfiguration': K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'n_estimators': 20, 'random_state': 47392, 'max_features': 10}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",16057.977559969473,0.550665930590971
"Jul IntMnt Ref Test Scaled features selected via PCA n50, Test Score",Stacking OF Ensemble,"{'stackingPredictorConfiguration': K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}, 'includeOriginalFeatures': True, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'n_estimators': 20, 'random_state': 47392, 'max_features': 10}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",16057.990072061077,0.5506655804778253
"Jul IntMnt Ref Test features selected via PCA n20, Test Score",Averaging Ensemble,"{'weights': [0.55424824211850254, 0.78301301659559208, 0.8377148128685743], 'predictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'n_estimators': 20, 'random_state': 47392, 'max_features': 10}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",17741.730969011965,0.5035511698223163
"Jul IntMnt Ref Test features selected via PCA n20, Test Score",Random Forest,"{'n_estimators': 20, 'random_state': 47392, 'max_features': 10}",19222.795843364504,0.4621080363662956
"Jul IntMnt Ref Test, Test Score",Averaging Ensemble,"{'weights': [0.6364413708763943, 0.82828776220922329, 0.83779179138512272], 'predictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'n_estimators': 20, 'random_state': 47392, 'max_features': 'sqrt'}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",19270.19399800056,0.4607817419667948
"Jul IntMnt Ref Test features selected via ICA n50, Test Score",Stacking Ensemble,"{'stackingPredictorConfiguration': K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'n_estimators': 20, 'random_state': 47392, 'max_features': 10}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",19325.487206229005,0.45923452830485123
"Jul IntMnt Ref Test features selected via ICA n50, Test Score",Stacking OF Ensemble,"{'stackingPredictorConfiguration': K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}, 'includeOriginalFeatures': True, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'n_estimators': 20, 'random_state': 47392, 'max_features': 10}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",19325.487206229005,0.45923452830485123
"Jul IntMnt Ref Test, Test Score",Random Forest,"{'n_estimators': 20, 'random_state': 47392, 'max_features': 'sqrt'}",20393.624560536256,0.4293459260629894
"Jul IntMnt Ref Test Scaled, Test Score",Random Forest,"{'n_estimators': 20, 'random_state': 47392, 'max_features': 'sqrt'}",20393.624560536256,0.4293459260629894
"Jul IntMnt Ref Test Scaled, Test Score",Averaging Ensemble,"{'weights': [0.6379890505617577, 0.82829231378416934, 0.84611697017612197], 'predictorConfigurations': [Ridge Regression {'alpha': 1.0, 'normalize': False}, Random Forest {'n_estimators': 20, 'random_state': 47392, 'max_features': 'sqrt'}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",21619.38954678522,0.39504658996331954
"Jul IntMnt Ref Test features selected via ICA n50, Test Score",Averaging Ensemble,"{'weights': [0.60220734125916775, 0.61798558556062466, 0.66070291825634109], 'predictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'n_estimators': 20, 'random_state': 47392, 'max_features': 10}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",21728.80138772493,0.39198502959263326
"Jul IntMnt Ref Test features selected via Variance Threshold .1, Test Score",Averaging Ensemble,"{'weights': [0.63734786009501043, 0.84517568505803164, 0.83779179138512272], 'predictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'n_estimators': 20, 'random_state': 47392, 'max_features': 'sqrt'}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",22997.562611825095,0.3564825734580269
"Jul IntMnt Ref Test Scaled features selected via ICA n50, Test Score",Averaging Ensemble,"{'weights': [0.62225787046196923, 0.68203925526432918, 0.77475765478086256], 'predictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'n_estimators': 20, 'random_state': 47392, 'max_features': 10}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",26031.070702351964,0.27159899893494466
"Jul IntMnt Dry Test Scaled features selected via PCA n20, Test Score",Ridge Regression,"{'alpha': 0.5, 'normalize': True}",26190.547280409657,0.2671365278967035
"Jul IntMnt Ref Test features selected via ICA n50, Test Score",K Nearest Neighbors,"{'metric': 'minkowski', 'n_neighbors': 5}",26701.76162931298,0.25283173622071786
"Jul IntMnt Dry Test Scaled features selected via Variance Threshold .1, Test Score",Ridge Regression,"{'alpha': 0.1, 'normalize': True}",29312.211310214287,0.17978617530083352
"Jul IntMnt Ref Test Scaled features selected via ICA n50, Test Score",Stacking Ensemble,"{'stackingPredictorConfiguration': K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'n_estimators': 20, 'random_state': 47392, 'max_features': 10}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",31342.054530167934,0.12298713501833891
"Jul IntMnt Ref Test Scaled features selected via ICA n50, Test Score",Stacking OF Ensemble,"{'stackingPredictorConfiguration': K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}, 'includeOriginalFeatures': True, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'n_estimators': 20, 'random_state': 47392, 'max_features': 10}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",31342.054530167934,0.12298713501833891
"Jul IntMnt Ref Test Scaled features selected via ICA n50, Test Score",Random Forest,"{'n_estimators': 20, 'random_state': 47392, 'max_features': 10}",42043.489029482815,-0.1764602327546967
"Jul IntMnt Ref Test features selected via Variance Threshold .1, Test Score",Random Forest,"{'n_estimators': 20, 'random_state': 47392, 'max_features': 'sqrt'}",42414.34789887404,-0.18683759966392688
"Jul IntMnt Ref Test features selected via Variance Threshold .1, Test Score",Stacking Ensemble,"{'stackingPredictorConfiguration': Random Forest {'n_estimators': 20, 'random_state': 47392, 'max_features': None}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'n_estimators': 20, 'random_state': 47392, 'max_features': 'sqrt'}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",56473.2847467977,-0.5802345440705483
"Jul IntMnt Ref Test Scaled features selected via PCA n20, Test Score",Ridge Regression,"{'alpha': 0.1, 'normalize': True}",57409.33213277852,-0.606427006946505
"Jul IntMnt Ref Test features selected via Variance Threshold .1, Test Score",Stacking OF Ensemble,"{'stackingPredictorConfiguration': Random Forest {'n_estimators': 20, 'random_state': 47392, 'max_features': None}, 'includeOriginalFeatures': True, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'n_estimators': 20, 'random_state': 47392, 'max_features': 'sqrt'}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",58369.05533663358,-0.6332819661768307
"Jul IntMnt Ref Test features selected via PCA n50, Test Score",Ridge Regression,"{'alpha': 0.1, 'normalize': True}",68887.55004399842,-0.9276103156384525
"Jul IntMnt Ref Test features selected via ICA n50, Test Score",Ridge Regression,"{'alpha': 0.1, 'normalize': True}",68887.55004399882,-0.9276103156384641
"Jul IntMnt Ref Test Scaled features selected via Variance Threshold .1, Test Score",Ridge Regression,"{'alpha': 0.1, 'normalize': True}",71574.73927678968,-1.0028032014631432
"Jul IntMnt Ref Test features selected via Variance Threshold .1, Test Score",Ridge Regression,"{'alpha': 0.1, 'normalize': True}",74061.5215237844,-1.0723883022395815
"Jul IntMnt Ref Test Scaled features selected via PCA n50, Test Score",Ridge Regression,"{'alpha': 0.1, 'normalize': True}",74584.36672748842,-1.0870185483072419
"Jul IntMnt Ref Test Scaled features selected via ICA n50, Test Score",Ridge Regression,"{'alpha': 0.1, 'normalize': True}",74584.36672748857,-1.0870185483072459
"Jul IntMnt Ref Test, Test Score",Ridge Regression,"{'alpha': 0.1, 'normalize': True}",74722.45546825472,-1.0908825452269268
"Jul IntMnt Ref Test features selected via PCA n20, Test Score",Ridge Regression,"{'alpha': 0.1, 'normalize': True}",84068.47033085037,-1.3524025825594084
"Jul IntMnt Ref Test Scaled, Test Score",Ridge Regression,"{'alpha': 1.0, 'normalize': False}",87786.63405131393,-1.456444179890429
"Jul IntMnt Ref Test Scaled features selected via Variance Threshold .1, Test Score",Averaging Ensemble,"{'weights': [0.13187941211130746, 0.48286981375506327, 0.45372521281814721], 'predictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'n_estimators': 20, 'random_state': 47392, 'max_features': 'sqrt'}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 10}]}",90680.15833172176,-1.5374107296937254
"Jul IntMnt Ref Test Scaled features selected via Variance Threshold .1, Test Score",Random Forest,"{'n_estimators': 20, 'random_state': 47392, 'max_features': 'sqrt'}",103387.40627040071,-1.8929847368158876
"Jul IntMnt Ref Test Scaled features selected via Variance Threshold .1, Test Score",Stacking Ensemble,"{'stackingPredictorConfiguration': Random Forest {'n_estimators': 20, 'random_state': 47392, 'max_features': None}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'n_estimators': 20, 'random_state': 47392, 'max_features': 'sqrt'}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 10}]}",103413.25375116433,-1.8937080006062446
"Jul IntMnt Ref Test Scaled features selected via Variance Threshold .1, Test Score",Stacking OF Ensemble,"{'stackingPredictorConfiguration': Random Forest {'n_estimators': 20, 'random_state': 47392, 'max_features': None}, 'includeOriginalFeatures': True, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'n_estimators': 20, 'random_state': 47392, 'max_features': 'sqrt'}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 10}]}",103413.25375116437,-1.8937080006062454
"Jul IntMnt Ref Test Scaled features selected via Variance Threshold .1, Test Score",K Nearest Neighbors,"{'metric': 'minkowski', 'n_neighbors': 10}",123257.00538854199,-2.4489755392651995
